# best iteration: (array([24]),)
163668.593750,339632.531250
16.932137,20.395802
17.433004,20.585299
1207.370483,813.387268
97.270020,116.565163
14.002961,16.642063
12.929871,15.179020
12.056345,14.131470
84.542595,17.906843
10.879766,12.709382
10.200577,11.822491
9.386635,10.793673
8.238820,9.405487
6.625783,7.380307
12.752215,5.462431
1.881782,1.667755
1.679721,1.429920
1.652608,1.402492
1.612120,1.362962
2.018777,8.249794
1.674177,1.386442
1.465174,1.300726
1.505233,1.577247
1.282874,1.336295
1.105721,1.111713
