# best iteration: (array([48]),)
101554.328125,185669.843750
16.724964,19.992163
16.395046,19.474981
15.071824,17.700726
13.600542,15.637970
12.439482,14.214023
11.688070,13.259915
11.639559,12.811325
10.269189,11.528767
9.524050,10.652237
8.496672,9.445498
7.466355,8.165196
5.847229,6.171886
4.631114,4.644734
3.989936,3.826982
4.080014,3.570016
3.522775,3.218159
3.422427,3.096613
4.188716,17.691639
2.783763,2.446701
1.919766,1.949743
10.303708,14.097491
1.860654,1.562982
3.519484,3.805975
1.642551,1.374600
1.663331,1.430237
2.506202,1.871113
2.237243,1.357721
2.583729,2.336388
1.291747,1.234077
1.224463,1.313421
7.023133,7.157985
1.176531,1.191279
1.293348,1.189095
1.142257,1.157626
1.942778,1.932310
8.611771,7.914793
5.274354,11.112557
2.643720,2.730123
1.136109,1.148713
41.237484,31.715628
16.063858,19.355101
1.130324,1.150751
1.115723,1.129252
1.112481,1.124825
1.390037,1.130277
77.961266,84.083168
1.106594,1.117735
1.108775,1.114120
