,loss,acc,mean_squared_error,mean_absolute_error,mean_absolute_percentage_error
0,0.05362962248083204,0.9465000033378601,0.05362965166568756,0.11416897177696228,74.83439636230469
1,0.013805235303472727,1.0,0.013805236667394638,0.05793095752596855,36.92726516723633
2,0.0035568896151380613,1.0,0.0035568908788263798,0.029405178502202034,18.743921279907227
3,0.0009164270374167245,1.0,0.0009164265356957912,0.014925810508430004,9.514216423034668
4,0.00023611575862742028,1.0,0.00023611565120518208,0.007576196454465389,4.829324722290039
5,6.0835260618659957e-05,1.0,6.0835242038592696e-05,0.0038456153124570847,2.451331377029419
6,1.5674236179165746e-05,1.0,1.5674251699238084e-05,0.0019520132336765528,1.2442843914031982
7,4.03865294725847e-06,1.0,4.038656243210426e-06,0.0009908584179356694,0.6316206455230713
8,1.0407937169816251e-06,1.0,1.0407942454548902e-06,0.0005030269385315478,0.3206735849380493
9,2.684130183681077e-07,1.0,2.684133733055205e-07,0.0002554834936745465,0.16291038691997528
