,x,y_norm,sigma,time,energy
0,-0.1,0.03409735434451882,0.0034767373336848924,100,60
1,-0.08405797101449275,0.050380400953325105,0.006345499269424468,100,60
2,-0.06811594202898551,0.08220379235899188,0.013791472362299906,100,60
3,-0.05217391304347826,0.15520061676400598,0.03360881557657349,100,60
4,-0.03623188405797101,0.3601767495222896,0.09435755785945164,100,60
5,-0.020289855072463753,0.7414723443015879,0.11754318867390812,100,60
6,-0.0043478260869565105,0.944039475255986,0.03238240630896791,100,60
7,0.011594202898550732,0.6331725286359986,0.1441078131332468,100,60
8,0.027536231884057988,0.253513741674381,0.07048536604413222,100,60
9,0.043478260869565244,0.10733295511614749,0.023664130753409042,100,60
10,0.0594202898550725,0.05930868614224255,0.00933023309896354,100,60
11,0.07536231884057973,0.03790418898789013,0.005376966726814856,100,60
12,0.09130434782608698,0.025750649454073522,0.0030307629787731357,100,60
13,0.10724637681159424,0.018540504712343368,0.0017713877310477047,100,60
14,0.12318840579710147,0.014463557717509682,0.0014198473172421988,100,60
15,0.13913043478260873,0.01112200272239233,0.000990402403852315,100,60
16,0.15507246376811598,0.00906073721041116,0.0005563259328937015,100,60
17,0.1710144927536232,0.007573049509704712,0.0008514504415521988,100,60
18,0.1869565217391305,0.006106518392824266,0.0006623106080955751,100,60
19,0.20289855072463772,0.005041674791983384,0.0006241964582146959,100,60
20,0.218840579710145,0.004336253228998027,0.0004936959574306785,100,60
21,0.23478260869565223,0.0037423512834483686,0.0005096364055302833,100,60
22,0.2507246376811595,0.003208870724481033,0.00028248451684357575,100,60
23,0.2666666666666667,0.002719482303031829,0.0004836170763155073,100,60
24,0.28260869565217395,0.0024844967822611375,0.00029784002862414484,100,60
25,0.2985507246376812,0.002138814154300413,0.0003042041585861914,100,60
26,0.3144927536231885,0.001923188299893978,0.00042516807072116034,100,60
27,0.33043478260869574,0.0015975299927266803,0.0004009476286158122,100,60
28,0.34637681159420297,0.0014919809869776636,0.000378284530447118,100,60
29,0.3623188405797102,0.0014437486319820168,0.00026547965031757664,100,60
30,0.37826086956521743,0.0011674099417121257,0.00027839057292071363,100,60
31,0.39420289855072477,0.001099537556319931,0.00018545740875845865,100,60
32,0.410144927536232,0.0010858692859014576,0.0002678497807913412,100,60
33,0.4260869565217392,0.0009007458039398445,0.00023302582115047123,100,60
34,0.44202898550724645,0.00080866237604567,0.00021917368470405398,100,60
35,0.4579710144927538,0.0007352028878822005,0.00020498178948244586,100,60
36,0.473913043478261,0.0007143921508703137,0.00026770730675940656,100,60
37,0.48985507246376825,0.0006689563409945482,0.00026392950701329684,100,60
38,0.5057971014492755,0.0005385681205890833,0.00020596250893415626,100,60
39,0.5217391304347827,0.0006852495597014241,0.0001776990751370957,100,60
40,0.53768115942029,0.0005863231061545829,0.00023866730646351098,100,60
41,0.5536231884057973,0.0004998640174220403,0.00015299520661302626,100,60
42,0.5695652173913045,0.0005279743225244216,0.0002630002154973987,100,60
43,0.5855072463768117,0.0004296248650460049,0.00021423153820288832,100,60
44,0.601449275362319,0.0004402700565998503,0.0002421502767902002,100,60
45,0.6173913043478262,0.0004358137865196218,0.00023569870062844657,100,60
46,0.6333333333333335,0.00044480345189371387,0.00017890530297537646,100,60
47,0.6492753623188408,0.0003394102743952506,0.00013381969631030344,100,60
48,0.665217391304348,0.000284299469782817,0.0002163911925075128,100,60
49,0.6811594202898552,0.00032485444524264306,0.00017668094223480854,100,60
50,0.6971014492753624,0.0002830485757241515,0.00014110480765324037,100,60
51,0.7130434782608698,0.0003082578713604831,0.00016204622359352995,100,60
52,0.728985507246377,0.0003178899820205034,0.00017571802633986917,100,60
53,0.7449275362318842,0.0002997416298504411,0.00020226716357665242,100,60
54,0.7608695652173915,0.0002826339382798755,0.00019632927495898776,100,60
55,0.7768115942028987,0.00024851226679490203,0.00013484862490826632,100,60
56,0.7927536231884059,0.0002995279507005615,0.00020080748829619425,100,60
57,0.8086956521739133,0.00022826133661771968,0.00019469208028958783,100,60
58,0.8246376811594205,0.00024196644235687615,0.0001535150339994564,100,60
59,0.8405797101449277,0.00020504994815112031,0.00025516804850371624,100,60
60,0.856521739130435,0.000197674904041853,0.0001861746453454787,100,60
61,0.8724637681159422,0.00019793414006809496,0.00024395127322850531,100,60
62,0.8884057971014495,0.0002916478380531639,0.00022616141204911846,100,60
63,0.9043478260869567,0.00021539853294281545,0.0001913626004530807,100,60
64,0.920289855072464,0.0002063371938939365,0.00021021476927759962,100,60
65,0.9362318840579712,0.00018172725004909223,0.0002604461035584923,100,60
66,0.9521739130434784,0.00015138643512832214,0.00017094615792918652,100,60
67,0.9681159420289857,0.0001847856200782277,0.00019806335886484754,100,60
68,0.9840579710144929,0.00018681128551431905,0.00018408264115979235,100,60
69,1.0,0.00013635048127642614,0.00018785967185269353,100,60
